?# English
home;pocetna
about;about
user;korisnik
search;pretrage
contact;konakt
admin;administrator
page;strana
sign;pristupi
home_header_title;Moja Zend MVC Aplikacija
home_body_h2_header;Dobrodosli na Zend MVC demo aplikaciju
home_intro_p;Dobrodosli na nasu Zend framework demo prezentaciju. Cilj aplikacije je da prikaze raznovrsnot dinamicke implementacije zavremenih Web 3.0 standarda kao sto su promena jezika, automatsko zavrsavanje termina pretrage, dinamickih menija i jos mnogo toga sve u Zend MVC frejmovorku. Sajt mozete skinuti i na github na sledecoj adresi
