?# English
home;home
about;about
user;user
search;search
contact;contact
admin;admin
table_lamp;table lamp
home_header_title;My Zend MVC Application
home_body_h2_header;Welcome to Zend MVC demo app
home_body_intro_paragraph;Welcome to Zend MVC demo app
home_intro_paragraph;Welcome to our demo Zend framework presnetation. The  purpose of this app is to showcase capabilites and ease of implementation of current web 3.0 trends using Zend Framework. Some of the feature you my find is internationalization, layout swapping, autocmplete, url translation, dynamic menu creation, dynamic grids and many more. The source can be found at
